1100929	90
1101324	81
1126076	3
1126084	2
1126086	2
1126506	4
1126514	2
1126518	3
1126524	5
1184078	179
1230672	157
1230729	87
1230731	59
1280802	13
1280804	18
1280808	36
1280810	26
1280812	39
1280814	46
1280816	30
1280820	51
1280822	26
1280824	24
1280826	19
1280828	40
1280830	13
1280832	17
1280834	37
1280836	34
1280838	50
1280840	51
1280842	128
1280844	136
1280846	54
1284069	120
1284071	130
1284073	180
1301751	33
1301757	15
1301763	23
1301769	56
1301772	21
1301775	62
1304442	45
1304484	20
1304487	40
1304505	18
1304511	73
1304513	86
1304515	79
1304517	50
1304519	71
1304525	46
1312946	29
1312949	84
1312952	91
1317010	113
1317012	75
1317014	274
1317016	22
1317018	87
1317020	156
1317022	40
1317024	43
1317047	158
1317049	308
1317051	28
1317053	377
1317055	28
1317057	21
1317059	55
1317061	42
1317065	194
1317067	188
1331063	37
1331065	216
1331067	767
1331069	51
1331071	28
1331073	173
1331075	41
1331077	134
1331079	45
1331081	328
1331083	31
1331085	10
1331088	45
1331091	25
1331094	139
1331097	95
1331100	53
1331103	28
1331105	15
1331107	163
1334427	4
1334429	14
1334431	7
1334439	37
1334443	9
1334445	4
1342576	34
1351047	86
1351051	84
1351053	43
1351055	18
1351057	35
1351059	83
1351061	149
1351063	140
1351065	17
1351067	24
1351069	627
1351071	22
1351073	36
1351097	83
1351142	75
1351151	31
1352058	14
1356508	62
1356510	50
1356512	201
1356520	19
1356522	221
1356524	149
1356526	45
1432464	52
1432465	52
1432466	52
1432693	9
1432733	18039
1433826	20
1433829	32
1433832	158
1434850	26
1434851	24
1434852	29
1434853	19
1434854	29
1434855	133
1434856	25
1434857	30
1456084	18
1456086	53
1456088	19
1456090	463
1456092	63
1456094	58
1472996	3
1472997	5
1473005	3
1473011	63
1473012	4
1473013	4
1473018	3
1473019	5
1473028	4
1473030	71
1473037	3
1473038	72
1473042	4
1473043	35
1473044	3
1473045	4
1473048	42
1473049	59
1473051	96
1473052	4
1473053	3
1473059	4
1473060	45
1473061	70
1473066	4
1473067	4
1473068	3
1473069	3
1473074	36
1473077	3
1473078	3
1473084	3
1473085	4
1473086	68
1473088	41
1473089	58
1473090	49
1473092	70
1473096	4
1473097	4
1473098	3
1473101	3
1473102	74
1473103	48
1473104	65
1473111	4
1473116	61
1473117	40
1473118	36
1473119	7
1473125	71
1473126	184
1473127	3
1473130	3
1473134	3
1473135	4
1473136	3
1473141	56
1473147	46
1474814	192
1474815	200
1474816	176
1474817	168
1474818	153
1474819	161
1474820	146
1474821	124
1474822	133
1474823	120
1474824	154
1474825	131
1474826	146
1474827	119
1474828	114
1474829	128
1474830	125
1474831	149
1474832	115
1474833	156
1474834	120
1474835	123
1474836	108
1474837	120
1474838	94
1474839	94
1474840	93
1474841	89
1474842	95
1474843	123
1474844	103
1474845	126
1474846	88
1474847	102
1474848	112
1474849	138
1474850	115
1474851	89
1474852	100
1474853	88
1474854	99
1474855	98
1474856	84
1474857	87
1474858	91
1474859	77
1474860	98
1474861	104
1474862	72
1474863	89
1474864	76
1474865	69
1474866	69
1474867	72
1474868	95
1474869	77
1474870	81
1474871	82
1474872	85
1474873	59
1474874	63
1474875	66
1474876	106
1474877	67
1474878	77
1474879	62
1474880	76
1474881	90
1474882	66
1474883	74
1474884	72
1474885	99
1474886	71
1474887	60
1474888	96
1474889	63
1474890	109
1474891	67
1474892	67
1474893	61
1474894	58
1474895	62
1474896	60
1474897	110
1474898	67
1474899	69
1474900	62
1474901	69
1474902	66
1474903	106
1474904	55
1474905	63
1474906	71
1474907	73
1474908	78
1474909	69
1474910	63
1474911	78
1474912	74
1474913	52
1474914	64
1474915	55
1474916	54
1474917	57
1474918	59
1474919	53
1474920	72
1474921	74
1474922	71
1474923	51
1474924	60
1474925	86
1474926	52
1474927	67
1474928	69
1474929	51
1474930	76
1474931	62
1474932	58
1474933	75
1474934	61
1474935	56
1474936	52
1474937	52
1474938	74
1474939	80
1474940	54
1474941	58
1474942	82
1474943	60
1474944	58
1474945	60
1474946	45
1474947	71
1474948	125
1474949	49
1474950	45
1474951	59
1474952	57
1474953	53
1474954	58
1474955	56
1474956	42
1474957	62
1474958	55
1474959	55
1474960	64
1474961	85
1474962	65
1474963	54
1474964	41
1474965	68
1474966	52
1474967	39
1474968	40
1474969	44
1474970	51
1474971	54
1474972	69
1474973	39
1474974	56
1474975	47
1474976	47
1474977	49
1474978	64
1474979	35
1474980	84
1474981	48
1474982	50
1474983	49
1474984	72
1474985	50
1474986	65
1474987	45
1474988	39
1474989	49
1474990	51
1474991	51
1474992	50
1474993	42
1474994	61
1474995	56
1474996	47
1474997	39
1474998	43
1474999	57
1475000	44
1475001	48
1475002	41
1475003	44
1475004	46
1475005	38
1475006	50
1475007	42
1475008	45
1475009	34
1475010	37
1475011	44
1475012	56
1475013	61
1475014	61
1475015	43
1475016	40
1475017	49
1475018	91
1475019	31
